Place_ID,Facility_Name,Facility_Group,Facility_Type,Address,Latitude,Longitude,Geometry
PRK006,Clear Creek Trail Parking Lot South,Parking,Parking Lot,"Clear Creek Trail, Bloomington, In 47403",39.107639,-86.542959,POINT (-86.542965786628 39.10764441955)
PRK007,4th and Washington Parking Lot,Parking,Surface Pay Lot,"4Th Street Between Walnut And Washington, Bloomington, In",39.165826,-86.532834,POINT (-86.532839486125 39.165833327279)
PRK008,Trades District Parking Garage,Parking,Parking Garage,"489 W 10Th Street, Bloomington, In",39.170968,-86.537923,POINT (-86.537927882283 39.17097496847)
PRK009,Ferguson Dog Park Parking Lot,Parking,Parking,"4300 N Stone Mill Road, Bloomington, In 47408",39.209213,-86.532831,POINT (-86.532836165232 39.209221177043)
PRK010,3rd and Washington Parking Lot,Parking,Surface Pay Lot,South Side Of The Bloomington Police Department,39.164248,-86.53188,POINT (-86.5318854356 39.164255613064)
PRK011,Switchyard Park Parking Lot North,Parking,Parking,"Access From W Grimes Lane, Bloomington, In",39.151951,-86.53582,POINT (-86.535824994917 39.151957604929)
PRK012,Bloomington Rail Trail Parking Lot,Parking,Parking Lot,"298 W Country Club Drive, Bloomington, In 47403",39.135752,-86.535221,POINT (-86.53522776286 39.135758699026)
PRK013,Morton Street Parking Garage,Parking,Parking Garage,"220 N Morton Street, Bloomington, In",39.16806,-86.535575,POINT (-86.535580190231 39.16806739673)
PRK014,4th and Dunn Parking Lot,Parking,Surface Pay Lot,"S Dunn Street Between Kirkwood Avenue And 4Th Street, Bloomington, In",39.165825,-86.52863,POINT (-86.52863542993 39.165832610794)
PRK015,Clear Creek Trail Parking Lot North,Parking,Parking Lot,"Clear Creek Trail, Bloomington, In 47403",39.136252,-86.561037,POINT (-86.561044082236 39.136258873059)
PRK016,7th and Walnut Street Parking Garage,Parking,Parking Garage,"318 N Walnut Street, Bloomington, In",39.169152,-86.533133,POINT (-86.533138044293 39.169159604683)
PRK017,Showers South Parking Lot,Parking,Surface Permit Lot,"City Employee Parking Lot South Of Showers Building, Bloomington, In",39.169098,-86.536872,POINT (-86.536877148455 39.169105814358)
PRK018,Upper Cascades Park Parking Lot,Parking,Parking Lot,"514 W Club House Drive, Bloomington, In 47404",39.20246,-86.539529,POINT (-86.539537024146 39.202465678012)
PRK019,4th Street Parking Garage,Parking,Parking Garage,"105 W 4Th Street, Bloomington, In",39.165258,-86.534101,POINT (-86.534106531288 39.1652654847)
PRK020,Clear Creek Trail Parking Lot Central,Parking,Parking Lot,"1498 W That Road, Bloomington, In 47403",39.115158,-86.549484,POINT (-86.549491880166 39.115164436523)
PRK021,Carlisle Parking Lot,Parking,Parking,"Title 15 Lot 23, Commonly Know As Carlisle Lot, Bloomington, In",39.152773,-86.522438,POINT (-86.522443568047 39.152780789759)
